file_name,image_path,mask_path,prompt
LIDC_0000.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0000.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0000.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.61, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0001.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0001.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0001.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0002.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0002.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0002.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0003.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0003.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0003.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0004.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0004.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0004.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0005.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0005.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0005.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0006.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0006.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0006.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.62, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0007.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0007.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0007.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.61, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0008.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0008.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0008.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.61, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0009.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0009.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0009.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.66, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0010.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0010.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0010.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0011.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0011.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0011.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0012.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0012.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0012.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0013.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0013.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0013.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0014.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0014.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0014.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.72 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0015.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0015.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0015.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0016.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0016.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0016.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0017.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0017.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0017.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0018.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0018.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0018.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0019.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0019.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0019.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.69 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0020.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0020.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0020.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0021.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0021.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0021.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0022.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0022.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0022.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0023.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0023.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0023.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0024.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0024.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0024.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0025.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0025.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0025.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0026.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0026.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0026.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0027.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0027.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0027.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0028.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0028.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0028.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.71 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0029.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0029.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0029.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0030.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0030.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0030.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0031.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0031.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0031.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0032.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0032.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0032.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.68, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
LIDC_0033.png,/content/drive/MyDrive/lidc_lora/LIDC/image/LIDC_0033.png,/content/drive/MyDrive/lidc_lora/LIDC/mask/LIDC_Mask_0033.png,"axial lung CT, single pulmonary nodule, located in the lower part of the right lung (nodule center at x=0.67, y=0.70 in image coordinates), high-resolution medical CT image, no contrast"
